,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
168,840000,0,0,0,0,0,,0,-83.614029685247
169,845000,0,0,0,0,0,,1,650.463277932404
170,850000,0,0,0,0,0,,0,-51.1034495340246
171,855000,0,0,0,0,0,,0,-149.918496039877
172,860000,0,0,0,0,0,,0,-32.3527482218449
173,865000,0,0,0,0,0,,0,-145.492921523504
174,870000,0,0,0,0,0,,1,323.223718950758
175,875000,0,0,0,0,0,,0,-85.6798539300209
176,880000,0,0,0,0,0,,0,-113.779871756372
177,885000,0,0,0,0,0,,0,-51.7695447329992
178,890000,0,0,0,0,0,,0,-89.7874038842636
179,895000,0,0,0,0,0,,0,4.37086388365169
180,900000,0,0,0,0,0,,1,588.557464922639
181,905000,0,0,0,0,0,,0,-113.520709207692
182,910000,0,0,0,0,0,,0,-67.134790943629
183,915000,0,0,0,0,0,,1,132.882935891325
184,920000,0,0,0,0,0,,0,-130.966429634753
185,925000,0,0,0,0,0,,1,171.329322591857
186,930000,0,0,0,0,0,,1,305.314789435667
187,935000,0,0,0,0,0,,0,-143.549744958101
188,940000,0,0,0,0,0,,0,-68.0897506620497
189,945000,0,0,0,0,0,,0,-146.369398079259
190,950000,0,0,0,0,0,,0,-101.784578852861
191,955000,0,0,0,0,0,,0,-84.3032835767373
192,960000,0,0,0,0,0,,1,273.47406008261
193,965000,0,0,0,0,0,,1,828.29656894287
194,970000,0,0,0,0,0,,1,351.819837955626
195,975000,0,0,0,0,0,,0,-92.5572588677784
196,980000,0,0,0,0,0,,0,-148.157974893199
197,985000,0,0,0,0,0,,0,-116.704984956407
198,990000,0,0,0,0,0,,0,-81.3722423119264
199,995000,0,0,0,0,0,,1,719.198253036897
200,1000000,0,0,0,0,0,,1,753.890360571363
201,1005000,0,0,0,0,0,,1,717.048645585816
202,1010000,0,0,0,0,0,,0,-117.627290758918
203,1015000,0,0,0,0,0,,1,318.809645470696
204,1020000,0,0,0,0,0,,1,359.803401539146
205,1025000,0,0,0,0,0,,1,788.917852222908
206,1030000,0,0,0,0,0,,1,373.425174426755
207,1035000,0,0,0,0,0,,1,231.682911107252
208,1040000,0,0,0,0,0,,0,-161.468972339615
209,1045000,0,0,0,0,0,,0,-105.103792287074
210,1050000,0,0,0,0,0,,0,-156.748443421994
211,1055000,0,0,0,0,0,,0,-139.610977857674
212,1060000,0,0,0,0,0,,0,-0.039906594890788
213,1065000,0,0,0,0,0,,0,-113.131351038902
214,1070000,0,0,0,0,0,,0,-92.594835284027
215,1075000,0,0,0,0,0,,0,-177.543003990355
216,1080000,0,0,0,0,0,,0,-117.625952554284
217,1085000,0,0,0,0,0,,0,-114.331498021684
218,1090000,0,0,0,0,0,,1,117.886352879856
219,1095000,0,0,0,0,0,,0,-87.9802373352264
220,1100000,0,1,0,1,1,0.293110821628262,1,765.408019162959
221,1105000,0,0,0,0,0,,0,-164.381136032447
222,1110000,0,0,0,0,0,,1,7.09179961272535
223,1115000,0,0,0,0,0,,1,848.550010867599
224,1120000,0,0,0,0,0,,0,-134.498383822027
225,1125000,0,0,0,0,0,,0,-115.086720010072
226,1130000,0,0,0,0,0,,1,205.089249216212
227,1135000,0,0,0,0,0,,1,790.189658659598
228,1140000,0,0,0,0,0,,0,-88.6257293310364
229,1145000,0,0,0,0,0,,0,-65.4413088972739
230,1150000,0,0,0,0,0,,1,648.829875267648
231,1155000,0,0,0,0,0,,0,-94.8842242349821
232,1160000,0,0,0,0,0,,0,-99.2553176616861
233,1165000,0,0,0,0,0,,1,616.811163964346
234,1170000,0,0,0,0,0,,1,747.488475478314
235,1175000,0,0,0,0,0,,0,-135.241489923085
236,1180000,0,0,0,0,0,,0,-194.837161315145
237,1185000,0,0,0,0,0,,1,705.697490616259
238,1190000,0,2,0,0,0,,1,844.836685918479
239,1195000,0,0,0,0,0,,1,342.759173240826
240,1200000,0,0,0,0,0,,1,126.109406529806
241,1205000,0,0,0,0,0,,1,778.81331234853
